Series detail	XCUIAccessibilityAuditType(rawValue: 65536)	Dynamic Type font sizes are partially unsupported	"Because you read School Life and Age Regression" StaticText
Series detail	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	"Drag the cover aside · tap it to open" StaticText
Series detail	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	"Because you read School Life and Age Regression" StaticText
Series detail	XCUIAccessibilityAuditType(rawValue: 1)	Contrast failed	"Details" Button
Series detail	XCUIAccessibilityAuditType(rawValue: 1)	Contrast failed	"Saved from the stack" StaticText
Series detail	XCUIAccessibilityAuditType(rawValue: 1)	Contrast failed	"Nothing saved yet. Skips are remembered too, and stay recoverable in the shelf." StaticText
Series detail	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	"saved" StaticText
Series detail	XCUIAccessibilityAuditType(rawValue: 1)	Contrast failed	"SKIP" StaticText
Series detail	XCUIAccessibilityAuditType(rawValue: 1)	Contrast failed	"SAVE" StaticText
Settings	XCUIAccessibilityAuditType(rawValue: 4)	Hit area is too small	"mb-…" SecureTextField
Settings	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	"ACCOUNT" StaticText
Settings	XCUIAccessibilityAuditType(rawValue: 1)	Contrast failed	"Save" Button
Settings	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	"SERIES TITLES" StaticText
Settings	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	"FORMATS" StaticText
Settings	XCUIAccessibilityAuditType(rawValue: 1)	Contrast failed	"Which publication formats appear in results." StaticText
Settings	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	unknown element
Settings	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	unknown element
Settings	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	unknown element
Settings	XCUIAccessibilityAuditType(rawValue: 1)	Contrast failed	unknown element
Settings	XCUIAccessibilityAuditType(rawValue: 1)	Contrast failed	unknown element
Settings	XCUIAccessibilityAuditType(rawValue: 65536)	Dynamic Type font sizes are partially unsupported	"FORMATS" StaticText
Settings	XCUIAccessibilityAuditType(rawValue: 65536)	Dynamic Type font sizes are partially unsupported	"ACCOUNT" StaticText
Settings	XCUIAccessibilityAuditType(rawValue: 65536)	Dynamic Type font sizes are partially unsupported	"SERIES TITLES" StaticText
Discover	XCUIAccessibilityAuditType(rawValue: 65536)	Dynamic Type font sizes are partially unsupported	"Manga · 8.9" StaticText
Discover	XCUIAccessibilityAuditType(rawValue: 65536)	Dynamic Type font sizes are partially unsupported	"Manga · 7.0" StaticText
Discover	XCUIAccessibilityAuditType(rawValue: 65536)	Dynamic Type font sizes are partially unsupported	"Manhwa · 8.7" StaticText
Discover	XCUIAccessibilityAuditType(rawValue: 131072)	Text clipped	"Manga · 7.0" StaticText
Discover	XCUIAccessibilityAuditType(rawValue: 131072)	Text clipped	"Manhwa · 8.7" StaticText
Discover	XCUIAccessibilityAuditType(rawValue: 131072)	Text clipped	"Manga · 8.9" StaticText
Discover	XCUIAccessibilityAuditType(rawValue: 131072)	Text clipped	"Let’s Buy the Land and Cultivate It in a Different World" StaticText
Discover	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	"Manhwa · 8.7" StaticText
Discover	XCUIAccessibilityAuditType(rawValue: 1)	Contrast nearly passed	"Manga · 7.0" StaticText
